SKU,Assigned_Slot,rack,bay,level,priority_score,total_demand,volatility,order_frequency,distance_to_dispatch,x_coord,y_coord
ACL000213A0010,R16-B24-L02,16,24,2,0.7718322583288617,57220,620.4304186661653,104,4.5,39.0,27.0
FBC010-1,R16-B24-L05,16,24,5,0.6211267225160519,45679,738.813294475924,73,4.5,39.0,27.0
M2N4G7361,R16-B24-L03,16,24,3,0.4188483165616276,2824,19.307116210128157,197,4.5,39.0,27.0
M2N4G7362,R15-B24-L01,15,24,1,0.4154281902300646,2896,21.783774899024912,203,5.5,35.0,27.0
FBC025-1-E,R15-B24-L07,15,24,7,0.37475838445271675,20000,0.0,1,5.5,35.0,27.0
M2N3G4015,R15-B24-L04,15,24,4,0.36977917443425823,828,3.981601041433817,144,5.5,35.0,27.0
M2N3G1295,R16-B24-L01,16,24,1,0.3681706686760704,2256,19.070863452327938,171,4.5,39.0,27.0
M2N3G1053,R16-B24-L04,16,24,4,0.36217576271826873,1932,12.881979445181337,146,4.5,39.0,27.0
M2N3G1050,R15-B24-L06,15,24,6,0.3563584378882369,3756,43.35487315375297,191,5.5,35.0,27.0
M2N3G7362,R16-B24-L06,16,24,6,0.3395453820136628,1208,8.585689330076208,134,4.5,39.0,27.0
M2N3G7361,R16-B24-L07,16,24,7,0.32164335379764675,1120,8.77292127368436,123,4.5,39.0,27.0
M2N3G1270,R14-B24-L07,14,24,7,0.3125958191733418,912,5.637258531478577,102,6.5,34.0,27.0
FBX010-1,R14-B24-L03,14,24,3,0.31179656466039796,14000,347.6431318556959,30,6.5,34.0,27.0
M2N3G7713,R15-B24-L02,15,24,2,0.3030774368725725,364,1.258036496512826,82,5.5,35.0,27.0
M2N4G9024,R17-B24-L02,17,24,2,0.3015863569691035,1052,9.457688747673844,112,5.5,40.0,27.0
M2N4G9023,R17-B24-L06,17,24,6,0.3014975135537228,1076,9.932546917997302,114,5.5,40.0,27.0
M2N3G1334,R17-B24-L01,17,24,1,0.292584531517255,822,6.292318164411899,93,5.5,40.0,27.0
M2N3G1281,R14-B24-L04,14,24,4,0.290354012474783,792,5.477475328845597,86,6.5,34.0,27.0
M2N4G7319,R17-B23-L03,17,23,3,0.285819001144121,1344,15.359107692215431,114,6.5,40.0,26.0
M2N3G1276,R17-B24-L03,17,24,3,0.28396418673997564,522,3.4383356291575407,80,5.5,40.0,27.0
M2N3G1165,R17-B24-L07,17,24,7,0.2837750156361063,1626,18.96321006879974,110,5.5,40.0,27.0
M2N4G7320,R14-B24-L01,14,24,1,0.2832866877439826,1352,15.664681272922197,112,6.5,34.0,27.0
M2N3G7083,R17-B24-L04,17,24,4,0.2831896864691066,296,1.142982559279233,68,5.5,40.0,27.0
M2N4G9025,R17-B24-L05,17,24,5,0.28306921434051946,282,1.9439697819350734,83,5.5,40.0,27.0
M2N3G7084,R16-B23-L04,16,23,4,0.28216165287957007,348,1.9141129046567285,74,5.5,39.0,26.0
M2N4G9026,R16-B23-L05,16,23,5,0.2788274450654769,294,2.193994156401927,82,5.5,39.0,26.0
M2N3G7761,R16-B23-L01,16,23,1,0.2787069799454326,528,4.295055797417071,84,5.5,39.0,26.0
FBC025-1,R14-B24-L05,14,24,5,0.27536220456728744,9120,198.82184180110497,34,6.5,34.0,27.0
M2N3G9026,R16-B23-L07,16,23,7,0.27461268090797386,664,7.016855014572601,97,5.5,39.0,26.0
M2N3G1271,R16-B23-L03,16,23,3,0.27261061321316027,978,11.363917188249223,101,5.5,39.0,26.0
M2N4G9021,R16-B23-L02,16,23,2,0.27070254840480357,676,7.2563911633967555,93,5.5,39.0,26.0
M2N4G9022,R16-B23-L06,16,23,6,0.2680771945578033,680,7.499386819973035,92,5.5,39.0,26.0
M2N3G9023,R15-B24-L03,15,24,3,0.2655471144808297,1025,12.354154887643046,94,5.5,35.0,27.0
M2N3G7322,R14-B24-L02,14,24,2,0.2650004236000327,420,3.504064900219415,71,6.5,34.0,27.0
M2N3G7321,R17-B23-L04,17,23,4,0.264919979907503,436,3.5800227858210523,70,6.5,40.0,26.0
M2N3G2523,R17-B23-L02,17,23,2,0.26382585191376484,942,11.81701782906315,98,6.5,40.0,26.0
M2N3G4011,R17-B23-L07,17,23,7,0.26355928287231045,556,5.872081402205084,83,6.5,40.0,26.0
